Full_ROI_ID,Ground_Truth_Label,Confidence,ca_std,ca_skew,ca_num_peaks,ca_energy,ca_kurtosis,circularity,solidity,area_px,aspect_ratio,extent,eccentricity
20250409_1_ATP_100uM_component_102,OPC,1.0,218.5420923996492,3.978993152270525,3,59703536.558734365,19.5938584936953,0.44396616676889916,0.7189542483660131,110.0,1.0,0.3806228373702422,0.948737481572215
20250409_1_ATP_100uM_component_103,Oli,1.0,79.11020857925095,0.7126298108570742,3,15980783.255900048,-0.24044053884414573,0.7367399307572706,0.8392857142857143,47.0,0.75,0.5340909090909091,0.8629696167655075
20250409_1_ATP_100uM_component_106,OPC,1.0,1575.9926751083633,1.3533662122795385,0,3519560118.69837,0.46855616977582004,0.920750958730385,0.9326923076923077,97.0,1.0,0.6736111111111112,0.8180446170350295
20250409_1_ATP_100uM_component_107,Astro,1.0,55.65869796958844,1.7171492303940021,6,4803844.136168769,2.816129363213495,1.0297119769200695,0.9655172413793104,65.0,0.8181818181818182,0.7,0.720809522707575
20250409_1_ATP_100uM_component_108,Astro,1.0,92.75462406675142,4.010273824981453,1,10300437.041757658,18.430653952268973,1.2170410587276164,1.0,54.0,1.0,0.8775510204081632,0.39781471223220566
20250409_1_ATP_100uM_component_11,Astro,1.0,164.06615350925495,1.3955533766205719,3,41673101.86708158,1.101158715995333,0.34777485754295384,0.4260355029585799,72.0,1.1666666666666667,0.21176470588235294,0.9353100348335723
20250409_1_ATP_100uM_component_110,OPC,0.8,82.31801839128593,2.1355272279165227,7,9930080.489422575,5.033741758390075,0.4326992260342974,0.6861313868613139,103.0,1.3076923076923077,0.4895833333333333,0.8265371677595186
20250409_1_ATP_100uM_component_112,OPC,1.0,56.169430414785374,4.839392417636048,1,3892250.104753806,36.17444066851175,0.7814968624844985,0.7674418604651163,82.0,1.0,0.515625,0.6340538282587415
20250409_1_ATP_100uM_component_114,OPC,1.0,387.78541721917315,1.0917390581427482,0,212721923.01025897,-0.655172194313522,0.7085398683758467,0.6984126984126984,80.0,1.0,0.44,0.3848531646422135
20250409_1_ATP_100uM_component_116,OPC,1.0,136.51004759913408,4.800273232058132,1,20837222.014365986,23.44004620989689,0.685546900845012,0.832258064516129,143.0,1.0,0.5733333333333334,0.7207321316829193
20250409_1_ATP_100uM_component_12,OPC,1.0,76.88281114629939,2.3381535546327963,9,8396910.963222558,5.715281937926733,1.0057184027462296,0.9560439560439561,87.0,1.0,0.71900826446281,0.6737198680122106
20250409_1_ATP_100uM_component_122,OPC,1.0,104.95649488008432,2.1061757740881535,10,16487273.26155021,4.63424220576486,0.8781032674758876,0.9152542372881356,54.0,0.9090909090909091,0.6,0.6461017881131674
20250409_1_ATP_100uM_component_124,Astro,1.0,73.96263449767807,2.592933114846654,3,7522927.6481065275,8.560870651922341,1.064367867628128,0.94,47.0,0.9,0.6527777777777778,0.5281282272187398
